Hidden,Layers,Learning Rate,Keep Probability,Epochs,Batch Size,Average Score
50,1,0.001,0.5,25,25,0.741333303
50,2,0.001,0.75,25,100,0.717790184
25,3,0.001,0.5,45,50,0.711935165
50,3,0.001,0.5,25,50,0.708023808
25,3,0.001,0.5,65,100,0.707731586
50,3,0.001,0.5,65,100,0.706131092
10,2,0.001,0.5,65,50,0.705699488
10,1,0.001,0.75,25,25,0.705420723
25,2,0.001,0.5,45,50,0.705026608
50,1,0.0001,0.5,65,25,0.703034882
10,1,0.001,0.5,45,50,0.700493317
50,3,0.001,0.5,25,25,0.699375375
50,1,0.001,0.5,25,50,0.698563112
50,1,0.0001,0.75,65,25,0.698539081
25,2,0.001,0.75,25,100,0.698386241
10,1,0.001,0.5,65,50,0.698359326
25,2,0.001,0.5,65,50,0.698359326
25,1,0.001,0.5,45,100,0.696734801
10,1,0.001,0.75,25,50,0.696456036
10,1,0.001,0.5,65,100,0.696150356
50,3,0.001,0.5,25,100,0.696112867
25,2,0.001,0.5,25,25,0.695134307
25,2,0.001,0.5,45,100,0.69456332
25,1,0.001,0.5,45,50,0.693826035
50,2,0.001,0.5,45,50,0.693533813
50,2,0.001,0.5,65,50,0.693190644
50,3,0.0001,0.75,65,25,0.692646573
50,2,0.001,0.5,45,100,0.692429328
25,2,0.001,0.75,25,50,0.692099617
50,2,0.001,0.5,65,100,0.690777888
10,1,0.001,0.5,25,25,0.690220359
50,3,0.0001,0.9,65,25,0.689839701
10,2,0.001,0.5,25,25,0.689357149
50,2,0.001,0.5,25,50,0.689343692
50,3,0.001,0.5,45,50,0.689330234
10,2,0.001,0.75,45,25,0.688365132
10,1,0.001,0.9,65,100,0.687984474
25,1,0.001,0.5,25,100,0.687389455
50,1,0.001,0.5,45,100,0.687070318
10,2,0.001,0.5,45,50,0.686981882
25,2,0.001,0.75,45,50,0.686434927
10,3,0.001,0.5,65,100,0.684276904
25,3,0.001,0.5,45,100,0.684137521
25,1,0.001,0.5,25,25,0.683692459
50,2,0.001,0.5,25,25,0.682384188
50,3,0.001,0.75,25,100,0.681915094
50,3,0.001,0.5,45,100,0.681660361
25,2,0.001,0.5,25,100,0.681320076
50,2,0.001,0.9,45,50,0.681266245
25,1,0.001,0.75,45,100,0.680746205
10,2,0.001,0.9,45,100,0.680657769
50,3,0.001,0.75,65,100,0.680542418
10,2,0.001,0.5,65,25,0.678802542
25,2,0.001,0.5,25,50,0.677724973
10,1,0.001,0.5,45,25,0.677647111
10,2,0.001,0.75,45,50,0.677470239
10,2,0.001,0.75,25,100,0.677408719
25,1,0.001,0.5,65,50,0.677405835
50,1,0.001,0.75,45,100,0.677025177
25,2,0.0001,0.75,65,25,0.676684892
50,1,0.001,0.75,45,50,0.67614851
25,1,0.001,0.75,25,100,0.676137937
50,1,0.001,0.5,25,100,0.675985097
50,3,0.001,0.75,25,25,0.675285301
10,1,0.001,0.5,45,100,0.67526127
10,3,0.001,0.5,45,100,0.67526127
25,2,0.001,0.5,65,100,0.67480275
10,3,0.001,0.75,45,50,0.674422092
10,2,0.001,0.75,65,100,0.673888594
10,3,0.001,0.5,65,50,0.673253203
10,3,0.001,0.75,65,50,0.672770652
25,1,0.0001,0.75,65,25,0.67253226
25,3,0.001,0.75,25,50,0.672403451
25,3,0.001,0.5,25,100,0.672328473
25,3,0.0001,0.75,65,25,0.671947815
50,1,0.001,0.75,25,25,0.671322998
25,1,0.001,0.75,25,25,0.670510735
50,3,0.0001,0.5,65,25,0.670449215
10,1,0.0001,0.75,65,25,0.670309833
10,2,0.001,0.5,45,25,0.669875344
25,1,0.001,0.5,25,50,0.669470655
50,1,0.0001,0.9,65,25,0.668937157
50,2,0.0001,0.9,65,50,0.66867185
50,2,0.001,0.5,25,100,0.668556499
50,3,0.001,0.75,25,50,0.668047032
10,2,0.001,0.5,45,100,0.667934565
50,1,0.001,0.9,45,50,0.667652917
50,2,0.001,0.75,65,100,0.666446539
25,3,0.001,0.5,65,50,0.666395592
25,2,0.0001,0.9,45,25,0.665929382
50,3,0.001,0.5,45,25,0.665620819
25,1,0.001,0.5,45,25,0.66543049
10,2,0.001,0.75,25,50,0.665280533
10,3,0.001,0.9,65,50,0.664757609
50,1,0.0001,0.5,45,25,0.664519217
10,2,0.001,0.75,45,100,0.664492302
25,3,0.001,0.5,45,25,0.663931889
10,1,0.001,0.9,25,25,0.663805964
50,2,0.0001,0.9,65,25,0.663336871
50,1,0.0001,0.9,45,25,0.662779341
50,2,0.0001,0.5,65,50,0.662690906
50,3,0.001,0.75,45,100,0.662586129
25,3,0.001,0.9,25,100,0.662562097
10,3,0.001,0.5,45,50,0.662497693
10,1,0.001,0.75,25,100,0.662436173
25,2,0.001,0.75,65,100,0.661379751
50,1,0.001,0.75,25,100,0.661202879
25,3,0.001,0.9,25,25,0.660948146
25,2,0.0001,0.5,65,25,0.660849136
10,3,0.0001,0.5,65,25,0.660621318
10,2,0.001,0.75,65,50,0.660604977
25,2,0.001,0.75,25,25,0.660516541
50,1,0.001,0.5,65,100,0.660363701
50,1,0.001,0.5,45,50,0.660122426
10,3,0.001,0.9,25,50,0.659806172
25,2,0.001,0.75,45,100,0.659602385
25,3,0.001,0.5,25,25,0.659272674
50,1,0.0001,0.75,65,50,0.658677656
50,1,0.0001,0.5,65,100,0.658449838
25,1,0.0001,0.5,65,50,0.658347944
25,3,0.0001,0.9,65,25,0.658181647
25,3,0.001,0.5,25,50,0.657926914
10,2,0.0001,0.9,65,25,0.6577635
10,1,0.001,0.5,25,100,0.657712553
25,3,0.001,0.75,25,25,0.657570287
25,2,0.001,0.75,65,50,0.657366501
10,3,0.001,0.75,65,100,0.656948354
25,2,0.001,0.9,65,50,0.65669362
50,2,0.0001,0.75,65,50,0.656608068
10,2,0.001,0.5,25,50,0.656353335
50,2,0.001,0.75,45,100,0.65602074
10,3,0.001,0.5,25,25,0.655996709
50,1,0.001,0.9,25,100,0.655983251
10,3,0.001,0.75,25,25,0.655843869
10,2,0.001,0.5,65,100,0.655551646
25,1,0.001,0.9,45,50,0.655487242
50,2,0.001,0.75,25,50,0.655449753
50,2,0.001,0.9,25,100,0.655310371
10,3,0.001,0.9,25,100,0.654460619
10,1,0.001,0.5,25,50,0.65427029
25,3,0.001,0.9,45,100,0.654192428
50,2,0.0001,0.5,65,25,0.653940579
25,2,0.0001,0.5,65,50,0.653726218
10,2,0.001,0.9,65,100,0.653278273
10,1,0.001,0.9,45,25,0.653264815
25,2,0.001,0.5,65,25,0.653162922
50,1,0.001,0.5,45,25,0.652490041
25,3,0.001,0.75,65,50,0.652299712
50,1,0.001,0.75,65,25,0.651715268
50,3,0.0001,0.75,45,25,0.65138844
25,3,0.0001,0.75,45,50,0.651123133
50,1,0.0001,0.9,65,50,0.650994325
50,3,0.0001,0.9,65,100,0.6508684
50,3,0.0001,0.9,45,50,0.650576178
25,3,0.001,0.9,65,100,0.650420454
25,3,0.001,0.9,65,50,0.650077285
50,2,0.001,0.9,25,50,0.64979852
25,1,0.001,0.9,25,25,0.649747574
10,2,0.001,0.9,25,25,0.64927848
50,2,0.0001,0.75,65,25,0.649240991
25,1,0.001,0.5,65,100,0.649074694
50,3,0.0001,0.75,65,50,0.648924737
10,1,0.001,0.9,25,100,0.648860333
10,3,0.001,0.75,25,100,0.648683462
10,2,0.001,0.9,25,50,0.648224942
10,3,0.001,0.9,45,100,0.647728933
25,3,0.001,0.75,45,100,0.647677986
25,1,0.001,0.75,25,50,0.647487657
50,3,0.0001,0.5,45,25,0.647439595
50,1,0.001,0.5,65,50,0.647372307
25,3,0.001,0.9,45,25,0.647181978
50,1,0.0001,0.5,45,50,0.646766714
25,3,0.0001,0.75,45,25,0.646474492
25,2,0.0001,0.75,25,25,0.646348567
25,2,0.001,0.75,45,25,0.646165928
50,3,0.001,0.75,65,50,0.646165928
25,1,0.001,0.75,65,50,0.645442102
25,3,0.001,0.75,45,25,0.645200826
25,3,0.001,0.9,25,50,0.645074901
25,3,0.001,0.75,65,25,0.644184777
25,1,0.0001,0.9,45,25,0.644061736
50,2,0.001,0.5,45,25,0.643702226
10,3,0.001,0.9,25,25,0.643576301
50,3,0.001,0.9,25,100,0.643576301
10,1,0.001,0.5,65,25,0.643029345
25,2,0.001,0.5,45,25,0.643029345
50,3,0.001,0.5,65,50,0.642254572
50,1,0.001,0.9,45,25,0.642013296
10,3,0.001,0.5,25,50,0.641723958
25,2,0.001,0.9,25,25,0.641683585
50,1,0.001,0.9,45,100,0.641683585
50,2,0.0001,0.75,45,25,0.641598033
25,1,0.001,0.9,45,25,0.641530745
25,1,0.0001,0.75,65,100,0.641472108
50,1,0.001,0.9,65,50,0.641048194
50,2,0.0001,0.75,25,25,0.640442601
25,1,0.0001,0.9,65,25,0.64032725
25,1,0.001,0.75,45,25,0.640324367
25,1,0.001,0.5,65,25,0.64027342
50,3,0.001,0.9,45,50,0.640134038
50,1,0.001,0.9,25,25,0.639702433
50,3,0.001,0.75,45,50,0.639651486
25,1,0.0001,0.5,65,100,0.639490956
10,2,0.001,0.9,25,100,0.638930543
10,2,0.0001,0.9,45,25,0.638423961
50,3,0.001,0.9,65,50,0.638343215
25,1,0.001,0.75,65,100,0.637962557
50,2,0.0001,0.9,45,25,0.637571325
10,2,0.001,0.9,45,50,0.637289677
25,3,0.0001,0.9,45,50,0.637166636
25,3,0.0001,0.5,65,25,0.636898445
25,1,0.001,0.75,45,50,0.636807126
10,3,0.0001,0.9,65,25,0.636327458
50,1,0.0001,0.75,45,25,0.636086183
50,2,0.0001,0.5,45,25,0.636086183
25,1,0.001,0.9,65,50,0.635981405
25,1,0.0001,0.9,65,50,0.635844907
25,2,0.0001,0.75,45,25,0.635807418
25,3,0.001,0.75,25,100,0.635678609
50,2,0.0001,0.9,65,100,0.635617089
10,3,0.001,0.5,25,100,0.635172027
25,2,0.0001,0.9,65,100,0.634995155
10,3,0.0001,0.9,45,25,0.634944209
50,3,0.0001,0.9,25,25,0.63475388
50,2,0.0001,0.75,45,50,0.634702933
25,3,0.001,0.75,45,50,0.634584698
50,2,0.001,0.75,25,25,0.634343423
10,2,0.0001,0.75,65,25,0.634257871
10,2,0.001,0.75,65,25,0.633758978
50,1,0.0001,0.75,25,25,0.633014004
50,2,0.001,0.75,65,50,0.632742929
10,3,0.001,0.75,45,100,0.632147911
10,2,0.001,0.9,65,50,0.631930666
10,2,0.0001,0.5,45,25,0.63187203
25,2,0.001,0.9,45,25,0.631777826
50,2,0.0001,0.9,45,50,0.631654786
50,3,0.001,0.75,45,25,0.631536551
50,1,0.001,0.75,25,50,0.630826182
10,3,0.001,0.9,65,25,0.630812724
50,1,0.0001,0.75,45,50,0.63074063
25,3,0.001,0.9,45,50,0.630673342
50,1,0.0001,0.9,25,25,0.630258078
50,2,0.001,0.9,45,100,0.630241737
25,3,0.001,0.5,65,25,0.63003795
25,1,0.0001,0.9,45,50,0.630016803
50,3,0.001,0.9,25,50,0.629759186
50,3,0.001,0.5,65,25,0.629555399
25,1,0.0001,0.5,65,25,0.629520794
10,2,0.001,0.75,25,25,0.629341039
25,3,0.0001,0.75,65,50,0.629242029
25,1,0.0001,0.75,45,25,0.629177625
25,1,0.0001,0.5,45,25,0.629102647
50,3,0.0001,0.5,45,50,0.629014211
25,1,0.001,0.9,45,100,0.628654701
50,3,0.001,0.75,65,25,0.628349021
25,2,0.001,0.9,25,50,0.628274043
50,3,0.0001,0.5,65,50,0.628124087
25,3,0.0001,0.5,65,100,0.627654993
25,2,0.001,0.9,45,50,0.627485812
50,3,0.0001,0.5,45,100,0.626856188
50,2,0.0001,0.9,25,25,0.626537051
10,3,0.001,0.5,65,25,0.626418816
50,1,0.001,0.5,65,25,0.626126594
50,1,0.001,0.75,65,50,0.625936265
50,2,0.001,0.9,25,25,0.625796882
10,1,0.001,0.75,45,50,0.625467171
50,2,0.0001,0.75,65,100,0.625330673
10,2,0.001,0.9,45,25,0.625263385
25,2,0.0001,0.75,45,100,0.624963472
50,1,0.001,0.75,65,100,0.624780833
10,3,0.001,0.9,45,50,0.624743344
10,2,0.001,0.5,25,100,0.624226188
50,1,0.0001,0.5,25,25,0.623896476
25,2,0.0001,0.9,65,25,0.623767668
25,2,0.0001,0.5,45,50,0.623743636
25,2,0.001,0.75,65,25,0.623713837
25,3,0.0001,0.5,45,50,0.623706147
25,3,0.0001,0.9,45,25,0.623679232
50,3,0.001,0.9,45,100,0.623384126
25,1,0.001,0.9,25,100,0.623360095
10,3,0.001,0.75,45,25,0.62333318
10,1,0.0001,0.5,45,25,0.62301981
25,2,0.001,0.9,45,100,0.623003468
50,3,0.0001,0.9,65,50,0.622992894
50,1,0.0001,0.9,25,50,0.622982321
10,1,0.0001,0.9,65,25,0.62286697
10,3,0.001,0.9,65,100,0.622813139
25,3,0.001,0.9,65,25,0.622748735
50,2,0.001,0.75,65,25,0.622748735
25,2,0.001,0.9,65,100,0.622609353
25,1,0.001,0.9,25,50,0.622432481
50,3,0.001,0.9,45,25,0.622075855
25,2,0.0001,0.5,65,100,0.621775942
50,1,0.0001,0.5,65,50,0.621609645
50,1,0.001,0.75,45,25,0.621301081
25,3,0.0001,0.75,25,25,0.621242445
25,3,0.0001,0.5,45,25,0.620695489
50,1,0.001,0.9,65,25,0.620577254
50,2,0.001,0.5,65,25,0.620285032
50,1,0.001,0.9,25,50,0.620057214
10,3,0.0001,0.75,65,50,0.619958205
50,1,0.0001,0.75,45,100,0.619947631
25,2,0.0001,0.75,65,100,0.619845737
25,2,0.0001,0.5,45,25,0.619591004
50,2,0.001,0.9,65,50,0.619370876
50,2,0.0001,0.5,25,25,0.619020017
10,1,0.001,0.75,65,100,0.618660507
50,2,0.001,0.75,45,25,0.618405774
25,1,0.001,0.9,65,25,0.618113551
25,1,0.0001,0.75,65,50,0.618092404
50,3,0.0001,0.9,45,25,0.616910057
25,1,0.0001,0.75,45,100,0.616811048
10,3,0.001,0.9,45,25,0.616526515
10,1,0.0001,0.9,45,25,0.616403474
25,2,0.0001,0.75,65,50,0.616301581
10,2,0.001,0.9,65,25,0.616234293
50,3,0.0001,0.75,45,50,0.616009359
25,2,0.0001,0.75,45,50,0.615438372
25,2,0.0001,0.75,25,50,0.615071172
10,1,0.001,0.9,65,25,0.614253141
50,2,0.001,0.9,45,25,0.614253141
10,1,0.0001,0.5,65,50,0.614092611
10,1,0.001,0.75,65,50,0.613872483
10,3,0.001,0.5,45,25,0.613872483
25,1,0.001,0.9,65,100,0.612958328
25,3,0.001,0.75,65,100,0.612666105
10,2,0.0001,0.75,65,50,0.6126315
25,2,0.0001,0.9,65,50,0.6126315
25,2,0.001,0.9,65,25,0.61227199
10,1,0.001,0.75,45,100,0.612108576
10,3,0.0001,0.5,45,50,0.611972077
10,3,0.0001,0.5,45,25,0.611642366
50,2,0.0001,0.5,65,100,0.610956028
50,3,0.0001,0.5,25,25,0.610905082
50,2,0.001,0.9,65,25,0.610824336
50,1,1.00E-05,0.9,45,25,0.610486935
10,1,0.001,0.9,45,50,0.610355242
10,3,0.001,0.75,25,50,0.609950553
10,1,0.001,0.75,45,25,0.609719851
25,2,0.001,0.9,25,100,0.608730717
25,3,0.0001,0.75,65,100,0.608580761
25,2,0.0001,0.9,45,50,0.607731009
50,3,0.001,0.9,25,25,0.605808494
50,2,0.001,0.9,65,100,0.605567219
50,2,0.001,0.75,45,50,0.605274997
50,2,0.0001,0.75,25,100,0.604580969
10,3,0.001,0.75,65,25,0.604017672
50,2,0.0001,0.9,45,100,0.604009982
50,3,0.0001,0.9,45,100,0.603082368
50,3,0.0001,0.5,65,100,0.602688253
50,1,0.0001,0.9,65,100,0.60254887
50,1,0.0001,0.9,45,100,0.602168212
10,1,0.001,0.9,45,100,0.602012489
50,1,0.0001,0.9,45,50,0.60187599
25,1,0.001,0.75,65,25,0.601553969
50,2,0.0001,0.75,45,100,0.600669612
50,3,0.0001,0.75,45,100,0.600669612
10,3,0.0001,0.75,45,25,0.600238007
50,3,0.001,0.9,65,25,0.599814093
50,1,0.0001,0.75,25,50,0.599704509
10,1,1.00E-05,0.9,65,25,0.599310394
10,2,0.0001,0.5,65,25,0.599171012
10,3,0.0001,0.9,25,50,0.597672411
25,1,0.0001,0.9,25,25,0.597634922
50,2,0.0001,0.5,45,50,0.597482082
25,3,0.0001,0.5,25,25,0.597291753
25,3,0.0001,0.75,45,100,0.59580661
10,2,0.0001,0.75,25,50,0.595364432
50,1,0.001,0.9,65,100,0.595280803
25,3,0.0001,0.5,65,50,0.594967433
50,1,0.0001,0.5,25,50,0.593672619
10,1,0.001,0.9,25,50,0.593669735
25,1,0.0001,0.9,65,100,0.593621672
50,1,0.0001,0.5,45,100,0.592999739
